rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250313001154,Y,00173944,우진,7,"712,026,000","4,984,181,000",-,2024-12-31
20250318001356,Y,00109286,대동,7,"427,000,000","2,992,000,000",-,2024-12-31
20250313000953,Y,00129350,삼화콘덴서공업,9,"235,095,000","2,115,856,000",-,2024-12-31
20250320001552,Y,00144252,유니온,5,"286,000,000","1,431,000,000",-,2024-12-31
20250321000814,Y,00303217,우진플라임,5,"188,070,000","940,351,000",-,2024-12-31
20250331003613,Y,01036446,서연이화,6,"173,000,000","1,035,000,000",-,2024-12-31
20250313001407,Y,00112970,대한방직,7,"124,000,000","867,000,000",-,2024-12-31
20250320001142,Y,00129554,갤럭시아에스엠,5,"59,000,000","293,000,000",-,2024-12-31
20250321001882,Y,00163691,유수홀딩스,4,"107,235,000","428,938,000",-,2024-12-31
20250313000035,Y,00260392,대원전선,5,"138,406,000","692,031,000",-,2024-12-31
20250327000507,Y,00153524,태림포장,5,"144,000,000","720,000,000",-,2024-12-31
20250320001025,Y,00105156,극동유화,8,"148,000,000","1,186,000,000",-,2024-12-31
20250328001256,Y,00146649,일진홀딩스,4,"187,000,000","749,000,000",-,2024-12-31
20250317000710,Y,00148443,제일파마홀딩스,7,"92,592,000","648,141,000",-,2024-12-31
20250320000832,Y,00148939,조광피혁,6,"292,000,000","1,750,000,000",-,2024-12-31
20250312000902,Y,01234297,미원에스씨,7,"176,754,000","1,237,277,000",-,2024-12-31
20250321001555,Y,00166272,화승코퍼레이션,8,"342,831,000","3,240,031,000",-,2024-12-31
20250321000993,Y,00143794,원림,4,"59,853,000","239,411,000",-,2024-12-31
20250314000900,Y,00860730,에이리츠,5,"124,467,000","622,333,000",-,2024-12-31
20250317000659,Y,00145260,율촌화학,4,"587,138,723","2,348,554,890",-,2024-12-31
20250319001022,Y,00118965,티에이치엔,5,"259,000,000","1,297,000,000",-,2024-12-31
20250320001288,Y,00687711,한국철강,6,"329,000,000","2,303,000,000",-,2024-12-31
20240523000442,Y,01394377,이지스밸류플러스리츠,4,"1,800,000","1,800,000",-,2024-02-29
20241121000504,Y,01394377,이지스밸류플러스리츠,4,"1,950,000","7,800,000",-,2024-08-31
20240619000177,Y,00118008,동원금속,6,"106,000,000","633,000,000",-,2024-03-31
