rcept_no,Corp Code,Total Assets (2024),Total Assets (2023),Total Assets (2022)
,00600013,,,
,00435297,,,
20250313001154,00173944,276510432217,240301076155,227053375662
20250318001356,00109286,2132627316122,1956376110942,1713773205581
20250313000953,00129350,328114248167,308031065017,287453832625
20250320001552,00144252,305473764776,382846276957,376111723330
20250321000814,00303217,329391197188,318384839252,285245048447
20250331003613,01036446,2953841527430,2357850900807,1930332276171
20250313001407,00112970,185398515032,180718514592,210639557874
20250320001142,00129554,69828890819,90043246014,57863011528
20250321001882,00163691,478715425251,514472137701,524926064872
20250313000035,00260392,226992976377,234871662225,245958532474
20250327000507,00153524,711994053000,715955958000,651217775000
20250320001025,00105156,478555021568,430015236625,353076046774
20250328001256,00146649,1967342079451,1664779334525,1586114519184
20250317000710,00148443,890432937697,879996990707,865677012176
,00148939,,,
20250312000902,01234297,512101745784,461187881064,475733780981
20250321001555,00166272,1288499141437,1154543398411,1177218098360
20250321000993,00143794,185004142765,174969478824,169931826485
20250314000900,00860730,82884263423,82285456068,89680360097
20250317000659,00145260,655469570993,678951066652,653136152620
20250319001022,00118965,454354334361,402977300428,371353957512
20250320001288,00687711,899069317215,972464324884,948549497436
20241121000504,01394377,520480441607,579101258437,560953885769
20240619000177,00118008,478904741185,487867520934,456870590279
20250317000970,00132354,1369865450719,1248108717577,1149528707692
20250319001004,00159254,517879873727,503113632386,469100261248
20241219000451,00168401,282769620563,296341107251,307313894364
20250220001320,00648721,516608191578,423163460482,429772701838
20240919000331,00136341,1162642752327,1068743768230,1022207108798
20250321001314,01532603,469867845903,430773739630,422569200239
20250320001238,00107224,404717544888,432707600573,401195143871
20250321001699,01415892,2146506925558,2124785872377,2056286188750
20250320001314,00111458,225080501521,221137778791,247356883299
20250318001129,00218575,522556270523,513527276106,481912631966
20241122000438,00134316,725562845976,674081857072,628831844307
20250331003702,00113058,160146430758072,147901842899949,146310480564015
20250313001313,00103042,762617949986,662097622202,630078626843
20240920000456,00120872,204811085193,256575339407,258305672651
20250331004301,01267684,1381577133923,1138110386834,1016960290726
20250325000971,00104698,9601505118160,1309219122467,1300442455061
20241219000406,00122348,231627131187,243460571984,265220043723
20250320001290,00135777,875922548735,876212192768,884529889834
20250320001464,00127200,557296058316,544042879787,543607709814
20250320000970,00147222,231974001581,236979137636,304781348634
20250320000112,00145464,329008589068,313891617603,337212432145
20250318000825,00109161,184309192873,182882306558,167391898805
20250320001362,00101628,1214347475924,1206860950940,1248318313535
20250320000852,00816544,210769726620,202609068278,199062053733
20250320001323,00823429,57902458105,48624288729,43913329550
20250317000557,00174004,437508359877,439604034118,427046002236
20250321000822,00123107,59282151485,57928435922,60912251547
20250313000495,00220561,1228084126118,934472863572,913454051041
20250804000178,00165343,262939817516,253960586979,240522145627
20250514000974,00159218,1690214811558,1597333550834,1562022195345
20250320001653,00101220,8160948249649,7818802674413,7076647392734
20250320001351,00152686,1255382149192,1236457010706,1293448547101
20250318001319,00162993,3709018734699,3559790251287,3268041346024
20250320000250,00124027,335401253997,278200798954,134678926321
20250320000337,00145686,269760591981,265952518844,268217246459
20250317000998,00332927,1830513946593,828362721870,533768141172
20250220001279,00398792,1241825709210,1211181269340,1225486689781
20250318001171,00148920,391890614962,382807997446,386108212060
20250220001436,01437292,302492164214,304265746997,292039569276
20250328001269,00136864,628902089244,545009762942,510124893723
20250318000112,00137809,81970747264,84766158128,88291972478
