corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
미래에셋맵스 아시아퍼시픽 부동산공모 1호 투자회사,00600013,094800,미래에셋자산운용(주),642,20070109,,1101113595852,1078686211
맥쿼리한국인프라투융자회사,00435297,088980,맥쿼리자산운용(주),64201,20021212,,1101112672586,1048177509
(주)우진,00173944,105840,"이재상, 백승한 각자대표",27216,19800513,,1345110001814,1358105713
(주)대동,00109286,000490,"김준식, 원유현",29210,19470520,,1911110000104,5148106690
삼화콘덴서공업(주),00129350,001820,"오영주, 박진",26291,19560814,,1345110003696,1358102429
(주)유니온,00144252,000910,"이건영, 이우선",23311,19521206,,1101110200579,1048124962
(주)우진플라임,00303217,049800,김익환,292,19920103,http://www.woojinplaimm.com/kor/main/index.php,1101110822993,1318139905
(주)서연이화,01036446,200880,강용석,303,20140702,,1101115455476,2208882958
대한방직(주),00112970,001070,"설 범, 김 인호",132,19530810,,1101110019350,1168133353
(주)갤럭시아 에스엠,00129554,011420,이반석,911,19750506,,1301110008771,1348102367
(주)유수홀딩스,00163691,000700,송영규,715,19500101,,1101110003262,1168135822
대원전선(주),00260392,006340,서명환,28302,19691129,,1348110001181,1248105047
태림포장(주),00153524,011280,이복진,1721,19760412,,1301110010015,1338122623
극동유화(주),00105156,014530,"장홍선, 장선우 (각자대표)",19221,19791228,,1845110001335,6218100510
일진홀딩스(주),00146649,015860,허정석,64992,19820127,,1201110011990,1248134732
제일파마홀딩스(주),00148443,002620,한상철,715,19590307,,1101110026652,1148101234
조광피혁(주),00148939,004700,이연석,15110,19660803,,1501110001036,3158107132
미원스페셜티케미칼(주),01234297,268280,"김형웅, 배원",201,20170501,,2101110123944,7788700797
(주)화승코퍼레이션,00166272,013520,"허성룡,현지호",303,19780915,http://www.hscorp.com,1845110001252,6218105780
(주)원림,00143794,005820,신성엽,13225,19681028,,1101110095152,1198101618
에이자기관리부동산투자회사(주),00860730,140910,김종국 (단독 대표이사),68121,20101104,,1101114464501,1058750280
율촌화학(주),00145260,008730,"송녹정,신동윤",22231,19730501,,1101110145147,1188101288
(주)티에이치엔,00118965,019180,"이광연, 채승훈",289,19860723,,1701110022781,5038119351
한국철강(주),00687711,104700,"문종인, 이수하 (각자대표)",2411,20080903,,1942110094318,6098184470
주식회사 이지스밸류플러스위탁관리부동산투자회사,01394377,334890,도병운,681,20190716,www.igisvaluereit.com,1101117173224,5368801452
동원금속(주),00118008,018500,"이은우, 박승룡",303,19851214,http://www.dwmic.com,1701110021816,5038106778
쿠쿠홀딩스(주),00132354,192400,구본학,649,19781115,,1845110000634,6218102895
(주)한국전자홀딩스,00159254,006200,박 명 덕,64992,19690909,,1101110101470,2298101123
(주)금비,00168401,008870,고기영,23192,19730605,,1201110002022,1268109409
SNT에너지(주),00648721,100840,김형섭,29176,20080205,,1942110090598,6098181774
신성통상(주),00136341,005390,대표이사 염태순,467,19680111,,1101110003345,1048101106
주식회사 화승알앤에이,01532603,378850,김형진,30399,20210303,,2341110120538,3058640935
(주)남선알미늄,00107224,008350,"박귀봉, 정순원(각자대표)",24222,19730104,,1701110005042,5028100107
(주)제이알글로벌위탁관리부동산투자회사,01415892,348950,오남수,681,20191024,,1101117263728,2078158077
대영포장(주),00111458,014160,"강병은,손용수",1721,19790601,,1101110254104,1348101183
(주)황금에스티,00218575,032560,김종현,24290,19860825,,1101110504195,1078118697
(주)세원정공,00134316,021820,장제상,303,19890729,,1701110039207,5038111081
한화생명보험(주),00113058,088350,여승주,65110,19460909,,1101110003204,1168111757
(주)케이씨티시,00103042,009070,류주환,49301,19730720,,1101110149446,2018110323
만호제강(주),00120872,001080,김상환,24123,19530904,,1801110054659,6068108662
쿠쿠홈시스 주식회사,01267684,284740,구본학,762,20171204,,1355110319406,5908700993
