corp_code,name,position,compensation,salary_source,salary_type
00173944,백승한,부사장,"530,736,000",개인별보수,exact
00173944,조재성,상무,"727,412,000",개인별보수,exact
00173944,이재원,이사회 의장,"1,297,181,000",개인별보수,exact
00173944,이재상,대표이사 사장,"1,337,155,000",개인별보수,exact
00173944,,미등기임원,"230,457,000",미등기임원,estimate
00173944,,"등기이사(사외이사, 감사위원회 위원 제외)","1,223,122,000",임원전체보수유형,estimate
00173944,,사외이사(감사위원회 위원 제외),-,임원전체보수유형,estimate
00173944,,감사위원회 위원,"30,565,000",임원전체보수유형,estimate
00173944,,감사,-,임원전체보수유형,estimate
00109286,원유현,대표이사,"1,061,000,000",개인별보수,exact
00109286,김준식,대표이사,"1,417,000,000",개인별보수,exact
00109286,,미등기임원,"202,000,000",미등기임원,estimate
00109286,,"등기이사(사외이사, 감사위원회 위원 제외)","946,000,000",임원전체보수유형,estimate
00109286,,사외이사(감사위원회 위원 제외),"40,000,000",임원전체보수유형,estimate
00109286,,감사위원회 위원,"33,000,000",임원전체보수유형,estimate
00109286,,감사,-,임원전체보수유형,estimate
00129350,오영주,"회      장
대표이사","926,540,000",개인별보수,exact
00129350,,미등기임원,"157,137,000",미등기임원,estimate
00129350,,"등기이사(사외이사, 감사위원회 위원 제외)","338,976,000",임원전체보수유형,estimate
00129350,,사외이사(감사위원회 위원 제외),"17,000,000",임원전체보수유형,estimate
00129350,,감사위원회 위원,-,임원전체보수유형,estimate
00129350,,감사,"48,000,000",임원전체보수유형,estimate
00144252,이건영,회장,"801,000,000",개인별보수,exact
00144252,,미등기임원,"173,000,000",미등기임원,estimate
00144252,,"등기이사(사외이사, 감사위원회 위원 제외)","455,000,000",임원전체보수유형,estimate
00144252,,사외이사(감사위원회 위원 제외),"29,000,000",임원전체보수유형,estimate
00144252,,감사위원회 위원,-,임원전체보수유형,estimate
00144252,,감사,"38,000,000",임원전체보수유형,estimate
00303217,-,-,-,개인별보수,exact
00303217,-,-,-,개인별보수,exact
00303217,,미등기임원,"94,000,000",미등기임원,estimate
00303217,,"등기이사(사외이사, 감사위원회 위원 제외)","274,696,000",임원전체보수유형,estimate
00303217,,사외이사(감사위원회 위원 제외),"38,040,000",임원전체보수유형,estimate
00303217,,감사위원회 위원,-,임원전체보수유형,estimate
00303217,,감사,"78,223,000",임원전체보수유형,estimate
01036446,-,-,-,개인별보수,exact
01036446,,미등기임원,"319,000,000",미등기임원,estimate
01036446,,"등기이사(사외이사, 감사위원회 위원 제외)","395,000,000",임원전체보수유형,estimate
01036446,,사외이사(감사위원회 위원 제외),-,임원전체보수유형,estimate
01036446,,감사위원회 위원,"40,000,000",임원전체보수유형,estimate
01036446,,감사,-,임원전체보수유형,estimate
00112970,-,-,-,개인별보수,exact
00112970,,미등기임원,-,미등기임원,estimate
00112970,,"등기이사(사외이사, 감사위원회 위원 제외)","190,000,000",임원전체보수유형,estimate
00112970,,사외이사(감사위원회 위원 제외),"24,000,000",임원전체보수유형,estimate
00112970,,감사위원회 위원,-,임원전체보수유형,estimate
00112970,,감사,"57,000,000",임원전체보수유형,estimate
00129554,-,-,-,개인별보수,exact
00129554,,미등기임원,"136,000,000",미등기임원,estimate
00129554,,"등기이사(사외이사, 감사위원회 위원 제외)","70,000,000",임원전체보수유형,estimate
00129554,,사외이사(감사위원회 위원 제외),"24,000,000",임원전체보수유형,estimate
00129554,,감사위원회 위원,-,임원전체보수유형,estimate
00129554,,감사,"36,000,000",임원전체보수유형,estimate
00163691,-,-,-,개인별보수,exact
00163691,,미등기임원,"355,181,000",미등기임원,estimate
00163691,,"등기이사(사외이사, 감사위원회 위원 제외)","248,938,000",임원전체보수유형,estimate
00163691,,사외이사(감사위원회 위원 제외),-,임원전체보수유형,estimate
00163691,,감사위원회 위원,"60,000,000",임원전체보수유형,estimate
00163691,,감사,-,임원전체보수유형,estimate
00260392,-,-,-,개인별보수,exact
00260392,-,-,-,개인별보수,exact
00260392,,미등기임원,"104,523,000",미등기임원,estimate
00260392,,"등기이사(사외이사, 감사위원회 위원 제외)","300,116,000",임원전체보수유형,estimate
00260392,,사외이사(감사위원회 위원 제외),"30,600,000",임원전체보수유형,estimate
00260392,,감사위원회 위원,-,임원전체보수유형,estimate
00260392,,감사,"30,600,000",임원전체보수유형,estimate
00153524,-,-,-,개인별보수,exact
00153524,,미등기임원,"143,000,000",미등기임원,estimate
00153524,,"등기이사(사외이사, 감사위원회 위원 제외)","216,000,000",임원전체보수유형,estimate
00153524,,사외이사(감사위원회 위원 제외),"36,000,000",임원전체보수유형,estimate
00153524,,감사위원회 위원,-,임원전체보수유형,estimate
00153524,,감사,"36,000,000",임원전체보수유형,estimate
00105156,-,-,-,개인별보수,exact
00105156,,미등기임원,"151,115,000",미등기임원,estimate
00105156,,"등기이사(사외이사, 감사위원회 위원 제외)","258,000,000",임원전체보수유형,estimate
00105156,,사외이사(감사위원회 위원 제외),"48,000,000",임원전체보수유형,estimate
00105156,,감사위원회 위원,-,임원전체보수유형,estimate
00105156,,감사,"30,000,000",임원전체보수유형,estimate
00146649,-,-,-,개인별보수,exact
00146649,,미등기임원,"193,000,000",미등기임원,estimate
00146649,,"등기이사(사외이사, 감사위원회 위원 제외)","336,000,000",임원전체보수유형,estimate
00146649,,사외이사(감사위원회 위원 제외),"45,000,000",임원전체보수유형,estimate
00146649,,감사위원회 위원,-,임원전체보수유형,estimate
00146649,,감사,"33,000,000",임원전체보수유형,estimate
00148443,-,-,-,개인별보수,exact
00148443,,미등기임원,"103,336,000",미등기임원,estimate
00148443,,"등기이사(사외이사, 감사위원회 위원 제외)","154,035,000",임원전체보수유형,estimate
00148443,,사외이사(감사위원회 위원 제외),"10,667,000",임원전체보수유형,estimate
00148443,,감사위원회 위원,-,임원전체보수유형,estimate
00148443,,감사,-,임원전체보수유형,estimate
00148939,이연석,사장,"1,446,000,000",개인별보수,exact
00148939,,미등기임원,"75,000,000",미등기임원,estimate
00148939,,"등기이사(사외이사, 감사위원회 위원 제외)","544,000,000",임원전체보수유형,estimate
00148939,,사외이사(감사위원회 위원 제외),-,임원전체보수유형,estimate
00148939,,감사위원회 위원,"39,000,000",임원전체보수유형,estimate
00148939,,감사,-,임원전체보수유형,estimate
01234297,-,-,-,개인별보수,exact
01234297,,미등기임원,"152,671,000",미등기임원,estimate
01234297,,"등기이사(사외이사, 감사위원회 위원 제외)","293,569,000",임원전체보수유형,estimate
01234297,,사외이사(감사위원회 위원 제외),-,임원전체보수유형,estimate
01234297,,감사위원회 위원,"21,000,000",임원전체보수유형,estimate
01234297,,감사,-,임원전체보수유형,estimate
00166272,현지호,총괄부회장,"506,350,000",개인별보수,exact
00166272,이명식,전무,"642,607,000",개인별보수,exact
00166272,현승훈,회장,"984,178,000",개인별보수,exact
00166272,,미등기임원,"135,396,000",미등기임원,estimate
00166272,,"등기이사(사외이사, 감사위원회 위원 제외)","491,298,000",임원전체보수유형,estimate
